price_id,material_id,price_per_ton,price_date
203,2526,836.48,2024-01-19
204,3472,800.29,2023-08-23
205,3208,555.14,2024-05-30
206,1784,820.13,2024-04-25
207,194,531.84,2023-02-13
208,1344,465.71,2024-04-09
209,1009,743.55,2023-06-16
210,2972,363.57,2024-06-05
211,1518,416.58,2023-05-21
212,61,906.68,2023-08-13
213,3016,658.63,2023-09-04
214,3642,941.9,2024-09-26
215,2712,399.78,2024-11-29
216,3544,730.39,2024-12-20
217,2163,574.6,2023-09-28
218,257,569.62,2024-06-02
219,4640,629.54,2023-08-27
220,2976,707.21,2024-08-04
221,4202,831.92,2023-11-18
222,2934,443.94,2023-06-23
223,4918,443.52,2024-03-25
224,3954,822.03,2023-07-06
225,2990,728.42,2024-07-18
226,2323,563.08,2023-11-24
227,2576,855.23,2023-05-20
228,1293,854.91,2023-11-26
229,2412,787.22,2024-05-29
230,3705,910.02,2024-08-14
231,907,461.49,2024-05-31
232,4614,591.28,2023-09-02
233,2036,741.17,2024-11-23
234,1931,623.57,2024-10-09
235,3510,797.82,2023-05-30
236,1689,380.7,2024-10-03
237,609,614.26,2024-09-15
238,2899,929.8,2023-12-31
239,3908,826.94,2023-07-13
240,1087,707.25,2024-01-19
241,979,585.79,2024-02-28
242,1035,392.34,2023-12-23
243,3467,731.18,2024-04-29
244,2212,827.54,2024-01-21
245,1681,648.09,2024-05-18
246,418,492.06,2023-01-17
247,1742,598.29,2023-09-07
248,4232,606.48,2024-12-23
249,442,426.48,2024-10-03
250,4190,623.0,2023-04-30
251,3739,550.14,2024-05-29
252,2113,894.72,2023-01-21
253,2734,485.83,2023-03-10
254,4354,726.08,2024-02-21
255,2720,677.72,2023-07-06
256,1527,654.1,2024-10-16
257,3843,584.16,2023-05-07
258,3655,444.13,2023-10-07
259,3419,384.77,2023-09-09
260,2410,403.92,2024-01-18
261,4595,915.38,2024-07-24
262,1414,832.54,2024-04-06
263,230,854.24,2024-01-17
264,727,636.07,2024-08-26
265,4820,511.54,2024-12-10
266,4635,616.94,2023-12-13
267,124,856.98,2023-01-21
268,4947,636.04,2024-03-13
269,2191,919.16,2023-09-22
270,413,831.11,2024-12-09
271,3873,746.01,2023-03-15
272,1423,758.33,2023-08-23
273,2359,930.89,2023-04-19
274,795,544.91,2023-12-03
275,2740,459.43,2023-09-24
276,247,824.65,2024-03-25
277,4589,834.65,2023-07-08
278,441,418.13,2024-07-19
279,523,418.71,2023-01-31
280,4211,934.62,2023-08-22
281,4871,560.45,2023-04-24
282,611,811.05,2024-10-14
283,2649,731.33,2023-05-07
284,2887,832.29,2023-05-31
285,1681,507.74,2023-02-26
286,4510,688.85,2023-01-30
287,3935,820.83,2023-08-11
288,4000,864.71,2024-01-28
289,3139,834.67,2023-01-13
290,4594,875.06,2024-01-29
291,82,606.8,2023-12-18
292,491,776.92,2023-10-24
293,230,562.88,2023-04-01
294,4427,487.47,2024-07-18
295,2257,363.2,2024-12-15
296,797,745.65,2023-10-15
297,334,622.6,2023-01-21
298,2240,471.28,2024-06-12
299,4630,882.79,2023-07-16
300,2632,485.07,2024-04-10
301,1558,793.21,2023-10-25
302,3550,415.48,2024-11-16
303,2936,443.78,2023-10-25
304,658,390.03,2023-09-24
305,647,526.12,2024-07-19
306,852,433.0,2024-07-16
307,4640,429.95,2024-01-29
308,3031,673.72,2023-08-13
309,2687,917.71,2023-06-28
310,3865,493.92,2023-07-29
311,3359,822.72,2024-07-13
312,2654,594.73,2024-02-24
313,2199,545.03,2024-02-20
314,4184,727.6,2023-10-08
315,3597,380.98,2024-09-13
316,1764,876.9,2024-09-26
317,3071,644.99,2024-11-12
318,4832,607.37,2024-08-01
319,850,458.26,2024-10-09
320,2000,706.63,2023-09-16
321,2104,841.23,2024-10-25
322,4980,503.0,2023-08-11
323,41,627.74,2024-12-12
324,4531,535.36,2024-04-10
325,4115,507.34,2024-09-02
326,508,791.09,2023-06-22
327,1916,385.01,2024-04-30
328,939,877.07,2023-11-14
329,3164,844.51,2024-12-04
330,260,742.16,2024-11-22
331,1225,683.7,2023-01-14
332,615,949.12,2024-06-03
333,2048,616.75,2024-09-22
334,552,368.95,2023-03-16
335,4480,777.11,2024-07-06
336,798,767.04,2023-08-13
337,3873,666.82,2023-04-26
338,908,376.37,2024-04-15
339,27,655.19,2024-10-20
340,2193,516.29,2023-09-17
341,2092,539.56,2023-08-24
342,1099,559.47,2024-04-26
343,1097,403.63,2024-12-12
344,527,687.71,2023-12-06
345,622,924.9,2023-03-30
346,63,690.96,2024-01-06
347,1081,591.21,2024-06-21
348,1088,392.51,2023-12-16
349,2923,403.1,2024-03-20
350,1415,758.26,2023-01-12
351,2,354.13,2024-06-08
352,4442,799.21,2024-10-30
353,3863,735.29,2023-11-02
354,875,534.98,2024-04-13
355,3648,449.34,2023-07-03
356,4154,571.23,2024-03-15
357,4747,928.77,2024-12-02
358,1556,396.91,2023-10-13
359,4618,488.99,2023-10-22
360,4394,685.13,2023-02-15
361,4033,470.49,2024-04-19
362,3410,867.01,2024-12-29
363,591,704.52,2024-09-14
364,335,492.11,2024-04-27
365,3698,498.24,2023-04-10
366,77,825.82,2023-11-23
367,1583,819.53,2024-11-06
368,2609,864.83,2024-08-17
369,1797,475.05,2024-07-10
370,2570,418.59,2023-12-22
371,558,725.46,2024-08-11
372,2246,373.6,2023-01-21
373,4055,508.88,2024-03-17
374,3875,430.61,2024-08-24
375,3753,813.55,2024-06-18
376,4395,933.68,2023-04-17
377,4300,931.04,2023-05-28
378,789,803.93,2023-02-18
379,3599,576.67,2024-11-29
380,264,544.5,2024-08-14
381,2978,885.21,2024-07-02
382,3795,946.46,2023-02-16
383,2063,436.46,2023-08-17
384,3589,895.36,2024-02-21
385,4860,779.68,2024-02-21
386,3920,779.16,2023-05-15
387,3058,882.87,2024-08-24
388,3215,579.26,2024-05-12
389,63,455.61,2024-10-11
390,3847,478.83,2024-05-22
391,1041,475.58,2023-01-30
392,2956,623.44,2023-06-09
393,950,591.83,2024-03-22
394,1474,711.8,2024-11-19
395,3163,663.48,2024-12-05
396,1486,636.55,2023-09-29
397,1386,664.13,2023-03-02
398,2176,452.08,2024-07-09
399,2660,792.98,2023-10-26
400,2381,586.48,2023-01-04
401,3304,948.42,2024-06-23
402,4706,549.09,2024-06-02
403,4960,715.07,2023-09-02
404,1193,392.19,2023-03-20
405,1880,463.17,2023-02-02
406,2277,528.41,2023-04-08
407,3919,713.0,2023-08-04
408,2455,924.53,2024-06-28
409,2838,599.78,2023-12-25
410,116,519.93,2024-02-29
411,1380,504.92,2023-11-13
412,2386,948.16,2023-04-09
413,3316,909.04,2023-04-04
414,3480,784.86,2024-01-31
415,2358,856.0,2024-05-13
416,451,381.88,2023-08-15
417,1794,614.38,2023-01-17
418,2108,935.88,2024-03-27
419,2178,828.71,2023-04-30
420,1087,799.13,2023-02-10
421,3488,832.14,2024-11-20
422,3234,362.89,2024-11-21
423,4102,365.69,2024-07-02
424,2671,601.27,2023-01-07
425,1080,784.65,2024-11-13
426,4764,408.08,2024-05-24
427,428,650.48,2024-06-03
428,4113,357.0,2023-05-25
429,2257,440.22,2023-03-05
430,3911,547.7,2023-01-19
431,4600,914.28,2024-03-31
432,3785,437.53,2024-01-24
433,4904,604.22,2024-02-05
434,3646,485.42,2024-09-26
435,2582,883.94,2024-06-18
436,3575,934.27,2023-04-02
437,2661,778.72,2023-02-15
438,4336,572.96,2024-07-22
439,2643,805.32,2024-08-12
440,553,777.14,2024-12-07
441,3186,560.09,2024-03-23
442,4067,822.63,2024-08-21
443,1381,925.48,2023-05-27
444,3614,389.1,2024-09-09
445,2623,435.06,2023-04-05
446,3958,423.55,2024-03-05
447,3853,386.08,2024-08-22
448,3526,653.09,2024-12-16
449,3888,434.19,2023-01-28
450,555,813.07,2023-09-19
451,4435,741.36,2023-11-19
452,2127,627.56,2023-09-10
453,1793,430.44,2023-11-30
454,4538,404.96,2024-08-22
455,3343,475.27,2024-07-21
456,738,486.87,2023-02-06
457,2488,758.15,2023-09-05
458,3146,877.14,2024-01-16
459,3203,690.27,2024-11-15
460,2729,497.45,2024-10-20
461,4935,867.97,2023-09-03
462,63,556.16,2023-03-24
463,4416,649.78,2024-01-25
464,1355,900.91,2023-01-04
465,2300,903.5,2024-01-23
466,757,366.63,2023-03-07
467,287,610.85,2024-12-03
468,534,693.61,2024-06-03
469,558,825.78,2023-04-04
470,4336,717.42,2023-06-02
471,4702,767.72,2024-03-17
472,2657,465.79,2024-03-14
473,3154,814.14,2023-11-03
474,2922,360.4,2023-03-20
475,4534,393.03,2024-05-06
476,4581,567.85,2023-02-28
477,1862,838.7,2023-11-05
478,1662,580.87,2023-03-18
479,1449,553.62,2023-10-19
480,1361,804.73,2024-11-06
481,3172,875.01,2024-06-22
482,4940,756.0,2023-05-14
483,2553,388.03,2023-06-13
484,547,443.34,2024-10-30
485,1968,824.24,2023-08-06
486,4476,622.8,2023-01-18
487,370,759.72,2023-02-09
488,1925,739.93,2024-06-01
489,4829,616.33,2024-12-11
490,2939,918.33,2023-08-21
491,3835,795.57,2024-04-17
492,3011,611.4,2024-12-07
493,2432,736.07,2023-01-23
494,4507,704.18,2023-11-12
495,3031,432.74,2024-05-05
496,1036,931.06,2023-12-12
497,4990,944.26,2023-01-07
498,1582,647.17,2023-09-26
499,4788,529.35,2023-03-23
500,1584,937.96,2023-01-24
501,4860,657.52,2023-09-18
502,2617,566.61,2023-05-19
503,3068,544.24,2024-09-28
504,2095,835.54,2023-06-23
505,4174,554.67,2023-03-14
506,2124,404.68,2023-08-29
507,3212,791.85,2023-06-01
508,2877,878.59,2024-06-24
509,3533,864.06,2023-08-29
510,1730,790.72,2024-10-30
511,1750,356.47,2024-03-13
512,816,834.28,2024-10-05
513,1862,414.73,2023-05-07
514,2000,645.59,2023-07-31
515,3445,631.62,2024-12-05
516,444,656.98,2023-05-08
517,1731,794.76,2024-01-15
518,1442,794.03,2023-06-05
519,626,838.16,2023-03-20
520,851,659.94,2023-01-31
521,4690,679.56,2024-11-09
522,401,654.42,2024-08-21
523,4670,477.95,2023-08-13
524,1693,378.03,2024-10-30
525,518,462.95,2024-10-26
526,4954,399.47,2024-10-22
527,4976,687.36,2024-03-08
528,173,447.03,2024-06-06
529,1256,687.13,2024-02-21
530,4149,731.5,2024-07-12
531,977,509.58,2023-07-28
532,2604,903.71,2024-10-21
533,4255,602.99,2024-07-09
534,2033,879.86,2024-01-14
535,4141,780.7,2023-01-09
536,2969,937.21,2024-06-21
537,3703,641.59,2024-08-30
538,3569,650.15,2024-04-13
539,3342,683.89,2024-08-05
540,422,457.03,2023-10-18
541,3431,506.76,2023-06-12
542,1636,743.65,2024-08-11
543,4339,783.39,2024-10-10
544,3126,513.08,2023-10-07
545,232,764.34,2024-08-20
546,1522,761.83,2024-04-28
547,240,878.43,2024-08-13
548,332,834.51,2024-01-17
549,2095,940.22,2023-06-06
550,2160,682.65,2024-07-19
551,303,404.38,2024-04-19
552,3170,674.53,2024-07-17
553,1697,844.9,2023-07-14
554,4971,802.64,2023-12-10
555,3209,564.25,2024-06-05
556,3074,599.95,2024-06-21
557,874,513.89,2023-09-10
558,2222,673.27,2023-09-16
559,2789,927.91,2023-11-29
560,1980,602.83,2024-08-03
561,1543,741.15,2023-06-26
562,3413,464.04,2023-09-24
563,2823,759.42,2023-03-01
564,4152,751.73,2023-03-15
565,3883,565.62,2024-08-30
566,3095,594.79,2023-03-30
567,2387,533.54,2024-03-10
568,3187,573.9,2024-11-14
569,2197,910.61,2023-03-02
570,4298,766.19,2024-12-30
571,2871,632.36,2023-02-20
572,3960,375.95,2023-04-30
573,786,504.1,2023-01-15
574,1441,450.05,2023-08-08
575,2781,886.6,2024-08-26
576,3423,356.9,2023-12-26
577,4269,550.84,2023-12-27
578,1423,456.65,2024-08-24
579,2968,363.73,2024-11-18
580,2465,523.22,2024-03-21
581,153,831.14,2023-10-05
582,4376,658.49,2023-10-22
583,4374,744.66,2024-12-31
584,3236,781.94,2023-03-09
585,4368,415.61,2023-10-19
586,2648,613.78,2023-11-20
587,3615,591.59,2023-05-14
588,3542,740.83,2024-03-20
589,4903,768.85,2023-01-13
590,298,896.79,2024-08-17
591,3903,915.86,2023-08-28
592,388,482.45,2023-12-30
593,288,629.09,2023-10-09
594,3472,612.55,2023-09-14
595,1762,467.1,2023-01-07
596,4642,774.12,2024-04-12
597,440,542.28,2023-12-12
598,244,416.12,2024-11-19
599,1635,473.96,2023-10-25
600,1863,797.8,2024-04-26
601,1099,935.07,2024-05-13
602,2366,723.44,2024-03-08
603,1836,407.96,2024-06-02
604,2918,490.63,2023-09-21
605,166,807.92,2024-02-05
606,1018,845.73,2023-02-19
607,1003,549.01,2024-06-17
608,2621,930.33,2023-06-05
609,3123,474.54,2023-06-23
610,1705,901.94,2023-02-17
611,3645,771.62,2024-06-16
612,2757,631.81,2024-06-10
613,4490,518.79,2023-05-25
614,263,573.07,2023-10-25
615,1102,361.11,2024-12-14
616,719,404.18,2024-03-05
617,3216,874.9,2023-06-27
618,3850,448.82,2023-08-21
619,2486,377.72,2024-06-05
620,4471,405.12,2024-08-01
621,3592,836.31,2024-03-26
622,2099,414.84,2023-03-18
623,4122,763.2,2023-05-10
624,3795,397.75,2023-12-31
625,846,814.76,2023-04-23
626,4833,512.37,2023-06-23
627,4411,686.21,2023-05-24
628,3825,598.97,2023-08-13
629,2213,475.95,2024-09-02
630,2156,609.3,2024-01-16
631,3660,790.26,2024-06-28
632,4331,591.14,2024-07-04
633,1614,540.41,2023-10-14
634,3871,929.12,2024-04-22
635,2340,549.73,2023-04-24
636,2550,850.4,2024-04-02
637,1516,618.98,2024-11-21
638,3730,707.28,2023-07-26
639,1016,875.53,2024-10-28
640,4916,673.96,2024-03-28
641,608,426.83,2023-07-14
642,3474,615.93,2023-04-16
643,1188,784.41,2023-12-06
644,2905,512.21,2023-06-13
645,1798,613.36,2024-08-26
646,4847,621.07,2024-11-10
647,166,512.66,2023-04-16
648,2052,849.26,2023-12-11
649,4428,670.02,2024-02-28
650,687,479.94,2023-10-04
651,1595,440.51,2024-01-12
652,4617,801.23,2023-02-03
653,3265,495.39,2024-06-01
654,3750,621.05,2023-12-14
655,2131,781.81,2024-05-28
656,2343,372.49,2023-01-16
657,2317,439.97,2023-01-04
658,4890,696.09,2024-08-27
659,4259,660.84,2024-04-15
660,3338,775.99,2023-03-12
661,4681,593.59,2024-03-03
662,3199,762.29,2024-08-09
663,1677,843.6,2024-08-02
664,1535,646.05,2024-07-04
665,1595,583.17,2023-02-02
666,4047,698.94,2024-09-03
667,341,778.75,2024-08-03
668,3989,791.59,2024-06-30
669,4909,727.35,2023-01-17
670,4095,745.34,2024-08-13
671,4191,942.8,2024-12-17
672,1994,662.2,2023-01-14
673,886,893.08,2023-07-13
674,3309,877.59,2023-10-15
675,45,654.26,2023-07-15
676,670,715.73,2024-11-27
677,1228,779.28,2024-12-24
678,3101,506.45,2024-02-09
679,3947,521.55,2023-09-16
680,2634,596.7,2023-07-17
681,1459,436.73,2024-10-21
682,2695,363.48,2023-11-09
683,3129,629.64,2024-06-18
684,4265,847.9,2023-10-22
685,4103,873.61,2023-01-12
686,3067,696.87,2023-09-26
687,3926,522.1,2023-01-08
688,234,426.56,2024-08-06
689,1223,484.68,2023-08-15
690,3710,869.35,2023-04-07
691,2427,868.71,2024-12-25
692,2329,465.51,2024-05-30
693,4209,386.08,2023-05-06
694,2015,896.21,2024-04-17
695,1460,746.0,2024-09-14
696,1286,671.26,2023-10-31
697,261,819.47,2024-08-08
698,3302,714.15,2024-03-05
699,2593,645.02,2024-06-25
700,2758,490.22,2024-04-21
701,2580,854.93,2023-04-22
702,1441,911.2,2023-01-13
703,3972,432.29,2023-11-22
704,4673,757.76,2024-10-10
705,391,547.98,2023-01-06
706,1453,898.71,2023-06-03
707,2205,647.61,2023-02-06
708,1892,451.25,2024-12-07
709,689,492.09,2023-07-15
710,3801,670.68,2023-01-18
711,488,583.01,2023-11-13
712,85,719.65,2024-02-23
713,2276,941.32,2023-06-01
714,4689,842.58,2024-07-27
715,2967,545.97,2023-02-10
716,3595,726.38,2023-07-13
717,1436,817.98,2023-01-08
718,311,763.29,2024-06-26
719,1093,744.84,2023-11-03
720,2191,758.85,2024-08-29
721,993,481.96,2024-10-05
722,3142,856.1,2023-01-01
723,4193,572.6,2024-11-03
724,3981,382.84,2023-05-05
725,4742,463.04,2023-09-18
726,15,835.86,2024-01-27
727,2246,936.19,2024-01-19
728,894,930.99,2023-05-07
729,4172,431.89,2023-06-24
730,2356,417.61,2024-11-17
731,1353,796.97,2024-08-13
732,3054,387.04,2023-01-27
733,1042,496.83,2023-07-19
734,1295,782.74,2023-05-04
735,1781,691.45,2024-10-14
736,1113,905.81,2024-07-07
737,2578,905.87,2024-06-03
738,987,519.87,2023-07-11
739,4055,490.07,2023-02-07
740,1410,432.5,2024-12-31
741,2202,818.94,2024-09-24
742,695,585.54,2023-04-06
743,430,764.26,2023-03-28
744,4913,843.73,2024-08-17
745,2781,484.2,2023-05-26
746,753,350.04,2024-09-17
747,3928,651.44,2023-11-01
748,1468,837.84,2024-11-08
749,4426,403.28,2023-10-28
750,2022,731.56,2023-05-04
751,2496,762.61,2023-05-06
752,4678,630.99,2024-09-12
753,4402,871.3,2024-05-12
754,3331,494.93,2024-11-11
755,870,706.75,2024-11-02
756,841,414.82,2023-10-10
757,1713,788.97,2024-03-21
758,3653,949.69,2023-03-22
759,2396,415.81,2023-01-02
760,2472,754.56,2024-07-27
761,4275,432.31,2023-01-29
762,3330,507.42,2023-12-23
763,3117,921.39,2024-10-25
764,244,727.86,2024-09-22
765,4482,463.05,2023-06-30
766,4054,464.28,2024-01-12
767,1189,738.87,2024-11-15
768,4614,933.95,2024-09-16
769,3733,428.49,2024-10-15
770,1035,380.82,2024-10-14
771,2584,577.24,2024-02-26
772,3804,721.31,2023-04-07
773,3487,616.81,2023-03-15
774,1167,628.35,2024-09-23
775,2546,832.34,2024-12-23
776,156,408.15,2023-01-23
777,2853,936.34,2024-04-06
778,1070,542.71,2023-07-26
779,2033,739.17,2023-06-19
780,2536,813.39,2024-08-20
781,3725,833.5,2024-04-14
782,1620,359.81,2024-07-23
783,3485,869.98,2024-06-05
784,3872,928.47,2024-03-23
785,949,694.62,2023-03-04
786,1118,841.54,2023-05-25
787,4450,770.97,2023-10-23
788,370,510.86,2023-05-25
789,3305,800.16,2024-03-14
790,3197,821.38,2024-06-16
791,2095,541.82,2023-03-04
792,822,541.56,2024-03-18
793,1065,449.58,2024-07-07
794,2146,661.02,2024-09-29
795,147,594.48,2023-10-25
796,2723,847.19,2024-09-16
797,4452,461.5,2024-03-25
798,4500,388.99,2024-04-30
799,292,554.9,2024-03-20
800,2467,717.54,2024-04-17
801,788,856.05,2023-05-30
802,4765,424.31,2024-02-14
803,4616,657.94,2023-11-18
804,1998,483.69,2024-01-03
805,1846,465.16,2023-11-01
806,1708,362.55,2024-10-14
807,1134,600.5,2024-04-09
808,4138,655.93,2023-07-21
809,1716,420.73,2024-12-30
810,1445,895.77,2023-02-21
811,4124,554.51,2023-06-06
812,355,735.6,2024-02-14
813,2120,552.81,2024-06-20
814,80,939.31,2023-09-22
815,2093,381.08,2024-07-04
816,2935,612.27,2024-09-22
817,2987,397.38,2024-04-27
818,2106,769.33,2024-09-12
819,2832,915.86,2023-09-15
820,2431,801.41,2024-11-15
821,2465,870.11,2024-12-22
822,4615,789.2,2023-05-24
823,144,705.77,2023-10-14
824,2623,569.16,2024-09-09
825,712,459.55,2024-06-22
826,1727,393.41,2023-04-11
827,3709,883.27,2024-08-07
828,2334,907.45,2024-08-20
829,2408,892.21,2023-05-15
830,1506,853.8,2023-08-31
831,1153,724.42,2024-08-10
832,2745,750.32,2024-04-15
833,2425,443.17,2024-09-06
834,3362,794.85,2023-01-04
835,2280,719.08,2023-11-25
836,2795,363.95,2023-11-08
837,3617,668.88,2024-11-21
838,3112,776.1,2023-03-10
839,3558,468.34,2024-07-20
840,1381,653.74,2023-03-07
841,110,948.51,2023-12-11
842,4618,805.4,2023-12-23
843,838,448.49,2023-05-04
844,4129,704.64,2023-10-17
845,3123,445.54,2023-04-18
846,685,610.44,2024-01-21
847,3025,847.28,2024-01-13
848,3197,483.65,2024-10-06
849,3490,870.7,2023-01-01
850,397,910.91,2023-10-30
851,1584,471.51,2024-08-17
852,333,397.3,2024-02-10
853,2420,357.62,2024-11-13
854,2992,852.2,2023-12-04
855,3305,690.17,2023-04-04
856,2168,909.03,2024-03-29
857,1726,554.12,2023-05-30
858,4133,467.1,2024-11-26
859,3139,837.19,2024-01-13
860,3888,872.07,2023-09-26
861,832,744.03,2023-05-06
862,3469,902.2,2024-01-08
863,3410,762.48,2023-11-20
864,3794,591.2,2023-01-14
865,3256,477.58,2024-01-28
866,2930,554.19,2024-02-06
867,939,618.57,2023-03-28
868,457,603.46,2024-02-23
869,3765,692.48,2024-09-05
870,1848,719.48,2023-07-08
871,2300,884.93,2024-10-20
872,3332,907.51,2023-08-21
873,2550,520.03,2024-03-09
874,4921,900.48,2024-05-30
875,2586,400.1,2024-03-01
876,1521,777.93,2023-07-31
877,4069,709.09,2023-10-19
878,3638,618.4,2023-10-24
879,567,649.85,2023-08-09
880,1830,769.69,2024-02-29
881,458,419.46,2024-04-26
882,4406,915.86,2024-05-04
883,3139,813.5,2023-02-16
