inventory_id,material_id,stock_qty,reorder_level,daily_usage,warehouse_location,states
40,40,174.2,62.5,3.51,Guwahati,Assam
41,41,128.89,49.51,7.6,Lucknow,Uttar Pradesh
42,42,94.97,67.06,7.41,Chandigarh,Chandigarh
43,43,230.61,20.71,4.02,Bengaluru,Karnataka
44,44,159.82,34.31,5.85,Kochi,Kerala
45,45,142.4,50.49,2.52,Surat,Gujarat
46,46,85.87,23.02,8.88,Patna,Bihar
47,47,299.09,28.16,9.67,Kolkata,West Bengal
48,48,106.56,72.19,7.13,Chandigarh,Chandigarh
49,49,265.88,54.48,4.87,Bhopal,Madhya Pradesh
50,50,173.59,68.04,7.65,Warangal,Telangana
51,51,148.85,60.28,3.46,Bhubaneswar,Odisha
52,52,165.08,40.89,3.19,Warangal,Telangana
53,53,155.57,60.86,9.24,Hyderabad,Telangana
54,54,195.75,25.1,4.56,Dehradun,Uttarakhand
55,55,214.93,58.2,3.92,New Delhi,Delhi
56,56,62.68,21.76,4.63,Udaipur,Rajasthan
57,57,286.38,60.58,3.42,Indore,Madhya Pradesh
58,58,151.25,54.61,9.64,Lucknow,Uttar Pradesh
59,59,227.87,72.61,3.36,Kanpur,Uttar Pradesh
60,60,255.69,27.57,3.83,Indore,Madhya Pradesh
61,61,276.59,53.46,8.28,Bengaluru,Karnataka
62,62,271.62,71.61,5.8,Nashik,Maharashtra
63,63,101.8,69.86,2.84,Bengaluru,Karnataka
64,64,52.98,51.61,4.83,Hyderabad,Telangana
65,65,289.7,32.31,6.94,Kochi,Kerala
66,66,106.3,79.25,5.39,Chandigarh,Chandigarh
67,67,85.14,58.97,6.13,Mumbai,Maharashtra
68,68,161.59,42.34,7,Nagpur,Maharashtra
69,69,281.35,70.55,4.41,Siliguri,West Bengal
70,70,185.08,31.84,7.1,Udaipur,Rajasthan
71,71,271.97,68.24,6.35,Surat,Gujarat
72,72,105.83,32.53,2.49,Jaipur,Rajasthan
73,73,193.72,43.74,4.45,Patna,Bihar
74,74,128.29,21.87,8.85,Guwahati,Assam
75,75,53.88,74.83,9.35,Kochi,Kerala
76,76,212.5,50.46,3.04,Mysuru,Karnataka
77,77,279.3,53.11,2.81,Shimla,Himachal Pradesh
78,78,244.76,21.65,6.44,Jaipur,Rajasthan
79,79,191.16,64.76,6.14,Bhopal,Madhya Pradesh
80,80,64.49,75.83,7.83,Patna,Bihar
81,81,173.04,55.49,6.43,Nashik,Maharashtra
82,82,290.38,50.93,7.89,Kanpur,Uttar Pradesh
83,83,166.12,79.53,5.41,Mysuru,Karnataka
84,84,75.08,73.06,8.45,Mysuru,Karnataka
85,85,104.09,22,8.17,Coimbatore,Tamil Nadu
86,86,152.74,60.86,5.95,Bengaluru,Karnataka
87,87,103.29,74.33,2.72,Shimla,Himachal Pradesh
88,88,229.66,61.82,9.99,Dehradun,Uttarakhand
89,89,134.24,33.21,6.76,Chandigarh,Chandigarh
90,90,101.39,26.85,3.52,New Delhi,Delhi
91,91,107.59,49.57,2.62,Mysuru,Karnataka
92,92,52.11,76.87,5.89,Surat,Gujarat
93,93,56.87,25.85,6.31,Patna,Bihar
94,94,269.78,73.77,4.29,Mysuru,Karnataka
95,95,179.34,22.71,3.15,Bhubaneswar,Odisha
96,96,147.79,69.69,5.59,Indore,Madhya Pradesh
97,97,81.74,45.9,4.16,Shimla,Himachal Pradesh
98,98,110.96,41.61,8.31,Dehradun,Uttarakhand
99,99,65.15,45.48,4.63,Udaipur,Rajasthan
100,100,193.88,56.35,4.68,Udaipur,Rajasthan
101,101,146.15,74.91,5.53,Bhubaneswar,Odisha
102,102,82.35,68.87,9.89,Ranchi,Jharkhand
103,103,205.35,48.6,8.5,Warangal,Telangana
104,104,261.78,38.83,9.8,Mumbai,Maharashtra
105,105,52.79,78.71,2.79,Kanpur,Uttar Pradesh
106,106,184.9,68.04,9.47,Lucknow,Uttar Pradesh
107,107,119.42,46.13,9.61,Nagpur,Maharashtra
108,108,299.72,64.65,7.75,Mysuru,Karnataka
109,109,256.09,46.84,4.36,Nashik,Maharashtra
110,110,58.4,38.88,2.44,Surat,Gujarat
111,111,276.05,78.42,9.37,Guwahati,Assam
112,112,154.96,67.85,4.24,Mumbai,Maharashtra
113,113,62.13,63.76,7.17,Shimla,Himachal Pradesh
114,114,200.35,55.81,3.94,Udaipur,Rajasthan
115,115,67.89,73.06,8.91,Guwahati,Assam
116,116,125.81,22,7.9,Udaipur,Rajasthan
117,117,146.9,48.73,6.57,Coimbatore,Tamil Nadu
118,118,245.86,36.31,5.47,Coimbatore,Tamil Nadu
119,119,179.79,20.33,2.39,Ahmedabad,Gujarat
120,120,272.36,22.24,4.34,Guwahati,Assam
121,121,113.72,41.53,6.99,Pune,Maharashtra
122,122,182.11,32.66,7.85,Coimbatore,Tamil Nadu
123,123,137.75,41.68,2.15,Warangal,Telangana
124,124,264.92,43.78,3.08,Mumbai,Maharashtra
125,125,155.51,24.99,3.54,Guwahati,Assam
126,126,224.17,56.15,7.91,Jaipur,Rajasthan
127,127,296.94,26.73,7.34,Pune,Maharashtra
128,128,248.15,43.04,3.42,Ahmedabad,Gujarat
129,129,64.97,60.5,4.95,New Delhi,Delhi
130,130,200.42,38.5,2.87,Mysuru,Karnataka
131,131,159.8,70.29,8.8,Bhubaneswar,Odisha
132,132,114.18,57.92,7.47,Udaipur,Rajasthan
133,133,287.35,49.05,8.13,Delhi,Delhi
134,134,269.52,69.11,8.67,Surat,Gujarat
135,135,206.46,61.45,9.14,Hyderabad,Telangana
136,136,225.15,27.3,5.67,Bengaluru,Karnataka
137,137,64.48,41.73,9.71,Chandigarh,Chandigarh
138,138,153.32,35.24,4.34,Kochi,Kerala
139,139,198.43,36.97,8.09,Shimla,Himachal Pradesh
140,140,112.82,38.5,9.53,Kochi,Kerala
141,141,96.31,73.68,2.54,Bhubaneswar,Odisha
142,142,264.04,67.71,8.91,Patna,Bihar
143,143,117.96,64.75,7.45,Udaipur,Rajasthan
144,144,283.38,55.74,7.68,Udaipur,Rajasthan
145,145,237.04,39.48,6.6,Pune,Maharashtra
146,146,278.86,37.96,6.24,Hyderabad,Telangana
147,147,55,20.3,7.28,Patna,Bihar
148,148,134.94,65.64,6.36,Coimbatore,Tamil Nadu
149,149,108.66,78.23,6.64,Hyderabad,Telangana
150,150,190.09,70.58,6.03,Kochi,Kerala
151,151,211,48.6,3.95,Hyderabad,Telangana
152,152,216.52,60.41,5.82,Ranchi,Jharkhand
153,153,263.43,48.2,3.65,Nagpur,Maharashtra
154,154,130.41,36.45,3.18,Kochi,Kerala
155,155,190.73,71.3,5.64,Jaipur,Rajasthan
156,156,81.7,52.29,5.57,Delhi,Delhi
157,157,158.8,47.46,5.4,Mumbai,Maharashtra
158,158,238.39,61.52,2.65,Bhopal,Madhya Pradesh
159,159,200.35,73.65,3.31,Bhopal,Madhya Pradesh
160,160,81.54,54.61,7.19,Mysuru,Karnataka
161,161,78.31,46.11,6.63,Delhi,Delhi
162,162,182.74,41.3,8.02,Hyderabad,Telangana
163,163,129.64,27.01,7.03,Patna,Bihar
164,164,233.41,32.75,9.13,Coimbatore,Tamil Nadu
165,165,171.23,59.69,8.85,Udaipur,Rajasthan
166,166,169.37,48.88,8.6,Chandigarh,Chandigarh
167,167,117.92,41.33,5.6,Lucknow,Uttar Pradesh
168,168,286.16,23.32,9.75,Dehradun,Uttarakhand
169,169,224.3,41.6,9.7,Chandigarh,Chandigarh
170,170,204.43,22.15,8.65,Siliguri,West Bengal
171,171,164.57,39.43,4.96,Dehradun,Uttarakhand
172,172,172.65,76.99,4.14,Mumbai,Maharashtra
173,173,139.23,63.95,7.68,Dehradun,Uttarakhand
174,174,147.59,70.01,8.02,Kochi,Kerala
175,175,102.63,69.68,7.52,Kochi,Kerala
176,176,50.81,74.28,4.67,Indore,Madhya Pradesh
177,177,288,66.82,7.49,Kanpur,Uttar Pradesh
178,178,167.61,64.02,3.05,Udaipur,Rajasthan
179,179,168.7,54.31,7.38,Mumbai,Maharashtra
180,180,65.05,63.04,6.65,Dehradun,Uttarakhand
181,181,260.37,71.8,7.88,Shimla,Himachal Pradesh
182,182,254.23,21.37,5.28,Indore,Madhya Pradesh
183,183,252.74,52.42,8.3,Bhubaneswar,Odisha
184,184,244.47,46.11,9,Delhi,Delhi
185,185,185.24,58.49,8.16,Bengaluru,Karnataka
186,186,99.14,41.62,2.45,Patna,Bihar
187,187,200.79,43.89,2.82,Mysuru,Karnataka
188,188,105.98,49.74,8.25,Patna,Bihar
189,189,84.89,49.46,5.36,Lucknow,Uttar Pradesh
190,190,191.06,23.88,2.89,Surat,Gujarat
191,191,286.21,45.7,4.67,Patna,Bihar
192,192,250.7,40.59,3.41,Dehradun,Uttarakhand
193,193,74.78,56.39,4.79,Ahmedabad,Gujarat
194,194,182.54,48.82,6.08,Bhubaneswar,Odisha
195,195,63.37,60.19,2.17,Udaipur,Rajasthan
196,196,99.17,65.25,8,Kolkata,West Bengal
197,197,85.35,76.82,5.84,Delhi,Delhi
198,198,94.46,79.23,6.59,Indore,Madhya Pradesh
199,199,239.47,36.72,4.25,Chandigarh,Chandigarh
200,200,72.57,42.76,6.62,Bengaluru,Karnataka
201,201,276.91,56.79,2.94,Nagpur,Maharashtra
202,202,193.09,38.03,9.21,Chennai,Tamil Nadu
203,203,111.82,79.46,6.34,Jaipur,Rajasthan
204,204,298.37,74.34,4.11,Coimbatore,Tamil Nadu
205,205,197.53,25.75,2.66,Shimla,Himachal Pradesh
206,206,56.87,31.31,3.84,Jaipur,Rajasthan
207,207,298.19,56.16,5.08,Bhubaneswar,Odisha
208,208,219.99,58.78,4.03,Warangal,Telangana
209,209,193.49,75.63,8.62,Shimla,Himachal Pradesh
210,210,230.25,41.43,8.89,Delhi,Delhi
211,211,271.65,51.79,4.4,Dehradun,Uttarakhand
212,212,168.51,48.76,4.45,Coimbatore,Tamil Nadu
213,213,63.43,34.62,8.53,New Delhi,Delhi
214,214,268.55,48.49,3.09,Dehradun,Uttarakhand
215,215,298.86,54.53,8.51,Kanpur,Uttar Pradesh
216,216,89.6,22.79,8.73,Nashik,Maharashtra
217,217,99.47,45.47,6.94,Lucknow,Uttar Pradesh
218,218,119.48,70.51,7.07,Jaipur,Rajasthan
219,219,222.74,28.61,9.63,Dehradun,Uttarakhand
220,220,240.57,49.24,9.08,Bhopal,Madhya Pradesh
221,221,265.15,24.76,3.37,New Delhi,Delhi
222,222,160.61,50.39,5.84,Shimla,Himachal Pradesh
223,223,247.11,43.01,6.93,Jaipur,Rajasthan
224,224,123.64,46.59,7.64,Indore,Madhya Pradesh
225,225,199.2,71.97,9.66,Chandigarh,Chandigarh
226,226,128.37,70.09,4.25,Warangal,Telangana
227,227,171.52,24.46,6.11,Ranchi,Jharkhand
228,228,54.56,21.21,2.62,Guwahati,Assam
229,229,165.05,26.14,2.55,Pune,Maharashtra
230,230,112.34,61.31,5.65,Coimbatore,Tamil Nadu
231,231,155.58,46.27,9.39,New Delhi,Delhi
232,232,205.08,33.32,4.86,Ranchi,Jharkhand
233,233,69.74,32.57,3.67,Nashik,Maharashtra
234,234,215.43,21.82,2.91,Patna,Bihar
235,235,177.79,42.16,5.54,Shimla,Himachal Pradesh
236,236,288.6,25.5,3.75,Kanpur,Uttar Pradesh
237,237,223.6,63.43,7.73,Thiruvananthapuram,Kerala
238,238,118.81,31.43,9.24,Kanpur,Uttar Pradesh
239,239,139.87,77.09,8.42,Mysuru,Karnataka
240,240,51.7,76.62,7.65,Lucknow,Uttar Pradesh
241,241,103.28,32.78,8.67,Mysuru,Karnataka
242,242,252.82,59.54,2.67,Thiruvananthapuram,Kerala
243,243,74.43,72.87,4.32,Guwahati,Assam
244,244,153.43,24.6,8.39,Udaipur,Rajasthan
245,245,279.83,29.56,7.81,Guwahati,Assam
246,246,53.89,20.01,2.62,Surat,Gujarat
247,247,133.66,70.79,6.75,Nashik,Maharashtra
248,248,63.25,74.93,4.5,Bengaluru,Karnataka
249,249,293.96,36.25,4.73,Pune,Maharashtra
250,250,258.63,69.72,2.67,Chennai,Tamil Nadu
251,251,298.48,21.95,4.42,Hyderabad,Telangana
252,252,70.73,38.95,3.94,Ranchi,Jharkhand
253,253,226.93,54.33,4.62,Warangal,Telangana
254,254,64.53,77.85,5.86,Delhi,Delhi
255,255,249.71,62.17,4.19,Bhubaneswar,Odisha
256,256,299.17,56.42,5.34,Thiruvananthapuram,Kerala
257,257,114.17,50.15,9.13,Shimla,Himachal Pradesh
258,258,87.42,48.33,2.07,Coimbatore,Tamil Nadu
259,259,92.29,38.58,8.92,Udaipur,Rajasthan
260,260,146.7,72.6,7.3,Bhopal,Madhya Pradesh
261,261,239.22,66.82,8.08,Udaipur,Rajasthan
262,262,263.18,72.79,7.91,Bhopal,Madhya Pradesh
263,263,174.66,49.94,8.35,Mysuru,Karnataka
264,264,190.44,69.64,2.78,Chandigarh,Chandigarh
265,265,142.27,53.38,9.58,Udaipur,Rajasthan
266,266,217.79,71.77,4.83,Ranchi,Jharkhand
267,267,60.51,30.22,5.94,Kanpur,Uttar Pradesh
268,268,262.57,39.57,2.37,Mysuru,Karnataka
269,269,233.53,25.48,4.39,Thiruvananthapuram,Kerala
270,270,236.65,57.45,9.39,Mysuru,Karnataka
271,271,237.18,49.62,7.03,Kanpur,Uttar Pradesh
272,272,224.99,70.88,2.52,Udaipur,Rajasthan
273,273,106.83,60.14,7.26,Udaipur,Rajasthan
274,274,152.68,35.12,6.94,Lucknow,Uttar Pradesh
275,275,60.75,28.58,2.5,Siliguri,West Bengal
276,276,123.7,72.45,9.42,Coimbatore,Tamil Nadu
277,277,293.96,59.57,2.63,Udaipur,Rajasthan
278,278,61.02,52.09,9.21,Bengaluru,Karnataka
279,279,156.48,54.61,3.23,Siliguri,West Bengal
280,280,198.99,59.03,5.74,Patna,Bihar
281,281,234.3,60.99,4.5,Surat,Gujarat
282,282,266.39,67.01,4.58,Guwahati,Assam
283,283,249.13,45.95,2.64,Guwahati,Assam
284,284,136.97,77.69,7.68,New Delhi,Delhi
285,285,51.36,46.93,5.79,Patna,Bihar
286,286,94.75,37.04,4.94,New Delhi,Delhi
287,287,159.2,51.77,5.42,Mumbai,Maharashtra
288,288,170.55,22.74,5.42,Kanpur,Uttar Pradesh
289,289,222.01,56.25,3.27,Pune,Maharashtra
290,290,188.31,33.95,6.69,Kanpur,Uttar Pradesh
291,291,114.74,20.64,7.08,Mumbai,Maharashtra
292,292,77.69,29.51,9.62,Shimla,Himachal Pradesh
293,293,205.54,52.08,3.57,Warangal,Telangana
294,294,277.9,36.82,7.5,Kochi,Kerala
295,295,92.64,66.22,4.76,Warangal,Telangana
296,296,252.03,61.28,7.02,Indore,Madhya Pradesh
297,297,197.72,70.84,9.91,Bhopal,Madhya Pradesh
298,298,72.65,60.27,3.32,Delhi,Delhi
299,299,249.4,23.65,3.73,Kanpur,Uttar Pradesh
300,300,235.75,71.58,6.32,Dehradun,Uttarakhand
301,301,139.42,69.43,2.31,Mumbai,Maharashtra
302,302,262.48,72.5,3.35,Ahmedabad,Gujarat
303,303,233.81,43.89,3.93,Mumbai,Maharashtra
304,304,106.62,42.3,4.7,Nagpur,Maharashtra
305,305,271.25,57.36,4.54,Bengaluru,Karnataka
306,306,159.53,42.73,2.62,Nashik,Maharashtra
307,307,87.92,54.35,9.01,Bhubaneswar,Odisha
308,308,185.42,43.79,8.99,Udaipur,Rajasthan
309,309,146.44,79.21,3.06,Guwahati,Assam
310,310,110.87,71.7,6.11,Patna,Bihar
311,311,281.53,68.56,6.95,Guwahati,Assam
312,312,131.56,36.55,2.37,Warangal,Telangana
313,313,146.8,36.09,6.9,Bhopal,Madhya Pradesh
314,314,254.85,69.34,9.25,Thiruvananthapuram,Kerala
315,315,277.84,69.03,6.29,Indore,Madhya Pradesh
316,316,209,37.25,2.94,Surat,Gujarat
317,317,295.56,58.38,5.5,Mysuru,Karnataka
318,318,184.98,50.92,9.94,Nagpur,Maharashtra
319,319,262.91,65.31,8.32,Jaipur,Rajasthan
320,320,288.66,65.39,4.21,Chennai,Tamil Nadu
321,321,106.29,68.72,8.69,Chennai,Tamil Nadu
322,322,50.33,52.02,7.57,Pune,Maharashtra
323,323,271.9,43.03,6.52,Bhopal,Madhya Pradesh
324,324,167.58,57.43,2.04,Udaipur,Rajasthan
325,325,166.87,56.64,2.41,Lucknow,Uttar Pradesh
326,326,236.89,69.29,2.46,Hyderabad,Telangana
327,327,53.69,49.31,6.24,Surat,Gujarat
328,328,89.95,47.33,4.1,Kochi,Kerala
329,329,299.45,20.26,9.55,Kolkata,West Bengal
330,330,130.16,57.83,2.4,Shimla,Himachal Pradesh
331,331,273.76,52.73,9.61,New Delhi,Delhi
332,332,132.1,48.93,9.22,Jaipur,Rajasthan
333,333,185.48,30.8,4.46,Nashik,Maharashtra
334,334,89.98,29.88,4.6,Hyderabad,Telangana
335,335,161.1,40.67,3.79,Coimbatore,Tamil Nadu
336,336,142.61,28.4,6.29,Udaipur,Rajasthan
337,337,129.9,42.19,2.45,Hyderabad,Telangana
338,338,132.37,35.17,2.64,Kolkata,West Bengal
339,339,188.21,48.44,8.09,Coimbatore,Tamil Nadu
340,340,53.36,41.69,3.67,Surat,Gujarat
341,341,269.31,58.11,2.7,Bhopal,Madhya Pradesh
342,342,139.71,25.56,4.32,Mumbai,Maharashtra
343,343,55.52,62.79,8.6,Coimbatore,Tamil Nadu
344,344,114.57,75.5,9.82,Kochi,Kerala
345,345,66.94,45.67,6.83,Jaipur,Rajasthan
346,346,104.07,66.3,5.78,Chandigarh,Chandigarh
347,347,246.15,42.96,6.57,Nagpur,Maharashtra
348,348,162.02,50.66,8.7,Patna,Bihar
349,349,60.51,76.14,7.4,Bengaluru,Karnataka
350,350,262.69,56.16,5,Kanpur,Uttar Pradesh
351,351,141.74,31.92,8.49,Pune,Maharashtra
352,352,70.24,38.1,8.5,Shimla,Himachal Pradesh
353,353,100.9,32.31,8.76,Pune,Maharashtra
354,354,84.23,38.78,9.91,Coimbatore,Tamil Nadu
355,355,191.87,73.62,5.11,Siliguri,West Bengal
356,356,267.41,45.84,3.66,Udaipur,Rajasthan
357,357,137.49,61.6,2.67,New Delhi,Delhi
358,358,275.28,78.12,7.54,Dehradun,Uttarakhand
359,359,143.21,45.24,8.09,Kanpur,Uttar Pradesh
360,360,57.93,52.58,4.56,Siliguri,West Bengal
361,361,279.04,42.89,3.86,Warangal,Telangana
362,362,183.53,57.04,6.63,Coimbatore,Tamil Nadu
363,363,245.26,34.39,7.39,Patna,Bihar
364,364,82.18,20.47,3.25,Coimbatore,Tamil Nadu
365,365,110.17,33.32,6.15,Chandigarh,Chandigarh
366,366,75.91,54.2,2.03,Shimla,Himachal Pradesh
367,367,131.1,56.63,7.71,Warangal,Telangana
368,368,173.91,35.51,2.19,Nagpur,Maharashtra
369,369,111.29,70.1,9.34,Jaipur,Rajasthan
370,370,157.19,38.19,2.32,Mumbai,Maharashtra
371,371,213.08,43.32,7.91,Coimbatore,Tamil Nadu
372,372,128.62,64.02,6.85,Kanpur,Uttar Pradesh
373,373,100.63,50.21,4.86,Siliguri,West Bengal
374,374,98.38,23.47,6.44,Shimla,Himachal Pradesh
375,375,100.31,72.98,2.35,Indore,Madhya Pradesh
376,376,57.39,56.52,9.95,Lucknow,Uttar Pradesh
377,377,123.65,50,7.05,Jaipur,Rajasthan
378,378,140.48,51.42,9.38,Warangal,Telangana
379,379,76.08,53.81,7.28,Mysuru,Karnataka
380,380,259.87,44.23,6.22,Udaipur,Rajasthan
381,381,176.37,59.01,9.03,Pune,Maharashtra
382,382,52.82,42.7,9.07,Thiruvananthapuram,Kerala
383,383,263.38,50.25,9.26,Nagpur,Maharashtra
384,384,268.81,29.58,6.7,New Delhi,Delhi
385,385,231.73,29.81,3.37,Thiruvananthapuram,Kerala
386,386,144.36,50.21,2.19,Pune,Maharashtra
387,387,219.4,55.81,3.25,Ahmedabad,Gujarat
388,388,75.22,56.67,8.29,Kochi,Kerala
389,389,52.1,27.4,6.46,Mumbai,Maharashtra
390,390,116.1,63.49,6.94,Kolkata,West Bengal
391,391,271.26,35.51,9.27,Mysuru,Karnataka
392,392,187.75,22.67,8.56,Bhubaneswar,Odisha
393,393,274.35,52.04,3.54,Shimla,Himachal Pradesh
394,394,275.02,39.1,5.02,Pune,Maharashtra
395,395,279,58.06,5.1,Shimla,Himachal Pradesh
396,396,74.99,24.21,9.97,Pune,Maharashtra
397,397,155.59,45.35,7.82,Ahmedabad,Gujarat
398,398,64.03,75.31,6.85,Patna,Bihar
399,399,208.85,38.22,7.12,Kolkata,West Bengal
400,400,231.2,20.52,7.62,Nagpur,Maharashtra
401,401,181.01,75.34,7.14,Guwahati,Assam
402,402,226.51,70.46,5.51,Nashik,Maharashtra
403,403,154.57,72.61,6.21,Chennai,Tamil Nadu
404,404,55.78,79.58,2.64,Nagpur,Maharashtra
405,405,171.65,77.03,2.79,Jaipur,Rajasthan
406,406,100.07,24.67,8.55,Thiruvananthapuram,Kerala
407,407,260.18,60.12,5.1,Lucknow,Uttar Pradesh
408,408,117.53,55.65,4.2,Patna,Bihar
409,409,111.56,70.1,5.97,Dehradun,Uttarakhand
410,410,162.4,63.34,2.31,New Delhi,Delhi
411,411,152.13,28.09,6.22,Dehradun,Uttarakhand
412,412,280.4,46.43,4.19,Surat,Gujarat
413,413,113.27,20.81,2.92,Nashik,Maharashtra
414,414,162.26,44.38,5.09,Warangal,Telangana
415,415,199.97,61.88,6.09,Bengaluru,Karnataka
416,416,260.62,40.58,3,Lucknow,Uttar Pradesh
417,417,216,38.04,4.1,Kochi,Kerala
418,418,150.48,30.47,3.43,Patna,Bihar
419,419,298.49,29.72,9.86,Bengaluru,Karnataka
420,420,168.04,36.28,5.47,Kanpur,Uttar Pradesh
421,421,74.72,79.34,4.08,Mumbai,Maharashtra
422,422,179.19,46.3,9.39,Chennai,Tamil Nadu
423,423,189.27,60.26,6.2,Ranchi,Jharkhand
424,424,204.04,68.21,8.67,Mysuru,Karnataka
425,425,84.46,41.49,9.05,Mysuru,Karnataka
426,426,212.3,64.38,3.49,Bhopal,Madhya Pradesh
427,427,273.36,78.98,2.48,Chennai,Tamil Nadu
428,428,150.36,49.83,7.13,Mysuru,Karnataka
429,429,189.89,38.73,5.92,Shimla,Himachal Pradesh
430,430,226.51,69.95,6.64,Mumbai,Maharashtra
431,431,86.41,33.91,4.93,Indore,Madhya Pradesh
432,432,57.86,63.78,3.19,Warangal,Telangana
433,433,153.15,37.12,5.12,Jaipur,Rajasthan
434,434,196.37,46.04,4.28,Chandigarh,Chandigarh
435,435,191.64,71.43,2.05,Nagpur,Maharashtra
436,436,157.42,41.34,7.33,New Delhi,Delhi
437,437,127.23,76.57,9.48,Coimbatore,Tamil Nadu
438,438,59.69,25.77,9.08,Indore,Madhya Pradesh
439,439,263.55,27.82,7.88,Kolkata,West Bengal
440,440,231.79,71.73,7.21,Chandigarh,Chandigarh
441,441,251.1,20.25,7.17,Dehradun,Uttarakhand
442,442,255.34,27.83,7.32,Bengaluru,Karnataka
443,443,221.63,69.47,2.45,Mumbai,Maharashtra
444,444,89.46,44.7,5.17,Hyderabad,Telangana
445,445,192.39,26.36,8,New Delhi,Delhi
446,446,206.8,60.73,5.23,Udaipur,Rajasthan
447,447,266.13,68.83,2.75,Warangal,Telangana
448,448,50.23,28.81,2.27,Thiruvananthapuram,Kerala
449,449,151.79,30.57,9.83,Nagpur,Maharashtra
450,450,277.04,35.43,4.48,Shimla,Himachal Pradesh
451,451,240.7,44.83,3.12,Coimbatore,Tamil Nadu
452,452,218.43,74.87,2.49,New Delhi,Delhi
453,453,293.29,37.07,9.11,Udaipur,Rajasthan
454,454,69.88,79.76,2.12,Bengaluru,Karnataka
455,455,225.28,72.63,3.54,Nagpur,Maharashtra
456,456,135.84,55.97,9.2,Dehradun,Uttarakhand
457,457,280.76,53.83,7.91,Warangal,Telangana
458,458,115.08,24.19,4.75,Kochi,Kerala
459,459,90.91,67.36,6.24,New Delhi,Delhi
460,460,240.68,22.98,8.9,Ranchi,Jharkhand
461,461,280.91,36.43,3.85,Shimla,Himachal Pradesh
462,462,206.79,79.78,6.82,Jaipur,Rajasthan
463,463,164.5,36.76,7.15,Indore,Madhya Pradesh
464,464,106.82,66.54,9.8,Bhubaneswar,Odisha
465,465,136.26,47.39,5.43,Siliguri,West Bengal
466,466,223.31,63.89,9.03,Indore,Madhya Pradesh
467,467,123.73,71.41,5.78,Chennai,Tamil Nadu
468,468,82.37,58.18,8.12,New Delhi,Delhi
469,469,278.38,48.85,8.3,Ranchi,Jharkhand
470,470,215.37,37.75,6.5,Pune,Maharashtra
471,471,152.52,57.67,8.34,Chandigarh,Chandigarh
472,472,55.45,55.79,5.54,Shimla,Himachal Pradesh
473,473,122.89,30.42,6.06,Nagpur,Maharashtra
474,474,66.51,58.16,3.05,Delhi,Delhi
475,475,175.69,45.42,6.05,Kolkata,West Bengal
476,476,292.4,23.02,9.36,Mysuru,Karnataka
477,477,121.05,55.53,2.01,Nagpur,Maharashtra
478,478,167.39,54.38,2.71,Ranchi,Jharkhand
479,479,107.15,60.71,4.81,Lucknow,Uttar Pradesh
480,480,137.57,27.02,3.18,Coimbatore,Tamil Nadu
481,481,121.71,75.15,4.2,Indore,Madhya Pradesh
482,482,222.94,50.85,2.16,Kolkata,West Bengal
483,483,67.78,64.02,6.73,Warangal,Telangana
484,484,109.66,75.98,6.32,Lucknow,Uttar Pradesh
