material_id,material_name,category
397,Printed Circuit Board,Chemical
398,HDPE Granules,Textile
399,Lithium Battery Cell,Packaging
400,Aluminum Sheet,Textile
401,Denim Fabric,Metal
402,Rubber Gasket,Electronics
403,Glass Fiber,Electronics
404,Lubricating Oil,Chemical
405,Coolant Liquid,Construction
406,Stainless Steel Bolt,Plastic
407,Lubricating Oil,Chemical
408,Hydraulic Oil,Metal
409,Packaging Cardboard,Construction
410,ABS Plastic Pellets,Textile
411,Leather Sheet,Construction
412,HDPE Granules,Packaging
413,Leather Sheet,Packaging
414,LED Module,Electronics
415,Acrylic Paint,Construction
416,PVC Pipe,Construction
417,Electric Motor Coil,Metal
418,Copper Wire,Chemical
419,Nylon Fiber,Packaging
420,Thermal Insulation Wool,Packaging
421,Foam Padding,Textile
422,Nylon Fiber,Electronics
423,Timber Plank,Packaging
424,Tempered Glass Panel,Packaging
425,Paint Pigment,Packaging
426,Plastic Packaging Film,Plastic
427,Gravel Stone,Chemical
428,Hydraulic Oil,Metal
429,ABS Plastic Pellets,Textile
430,Plastic Packaging Film,Plastic
431,Electric Motor Coil,Packaging
432,Paint Pigment,Chemical
433,Gypsum Powder,Chemical
434,Sand Aggregate,Construction
435,Concrete Additive,Packaging
436,MDF Board,Metal
437,Concrete Additive,Construction
438,Ceramic Insulator,Electronics
439,Epoxy Resin,Textile
440,Hydraulic Oil,Textile
441,Synthetic Rubber Sheet,Packaging
442,Electric Motor Coil,Electronics
443,Synthetic Rubber Sheet,Electronics
444,Leather Sheet,Textile
445,Concrete Additive,Packaging
446,Sand Aggregate,Construction
447,Synthetic Rubber Sheet,Packaging
448,Epoxy Resin,Metal
449,Microcontroller Chip,Textile
450,Gravel Stone,Metal
451,Powder Coating Material,Chemical
452,Foam Padding,Construction
453,Stainless Steel Bolt,Textile
454,Hydraulic Oil,Metal
455,MDF Board,Textile
456,Polyester Yarn,Electronics
457,MDF Board,Textile
458,Textile Cotton Fiber,Construction
459,Epoxy Resin,Construction
460,Paint Pigment,Chemical
461,Corrugated Box,Metal
462,Aluminum Sheet,Construction
463,Cement Bag,Chemical
464,Polyester Yarn,Plastic
465,Gypsum Powder,Construction
466,Timber Plank,Chemical
467,Hydraulic Oil,Plastic
468,Powder Coating Material,Metal
469,Polycarbonate Sheet,Packaging
470,Acrylic Paint,Electronics
471,PVC Pipe,Construction
472,Gravel Stone,Construction
473,Leather Sheet,Electronics
474,Copper Wire,Metal
475,Steel Rod,Packaging
476,Leather Sheet,Chemical
477,Printed Circuit Board,Textile
478,Denim Fabric,Textile
479,Silicone Sealant,Packaging
480,Aluminum Foil Roll,Textile
481,Coolant Liquid,Packaging
482,Microcontroller Chip,Construction
483,Glass Fiber,Packaging
484,ABS Plastic Pellets,Construction
485,Aluminum Sheet,Construction
486,Concrete Additive,Metal
487,Sand Aggregate,Packaging
488,PVC Pipe,Plastic
489,Timber Plank,Electronics
490,Plastic Packaging Film,Metal
491,Wooden Plywood Sheet,Construction
492,Aluminum Foil Roll,Textile
493,Corrugated Box,Textile
494,Paint Pigment,Electronics
495,Sand Aggregate,Electronics
496,Aluminum Foil Roll,Electronics
497,Gypsum Powder,Packaging
498,Rubber Gasket,Construction
499,Aluminum Foil Roll,Plastic
500,Epoxy Resin,Construction
501,Copper Wire,Packaging
502,Industrial Adhesive,Electronics
503,Nylon Fiber,Chemical
504,Powder Coating Material,Plastic
505,Cement Bag,Chemical
506,Silicone Sealant,Plastic
507,Acrylic Paint,Electronics
508,Gravel Stone,Construction
509,Steel Rod,Packaging
510,Aluminum Foil Roll,Electronics
511,Steel Rod,Packaging
512,Thermal Insulation Wool,Metal
513,Transformer Core,Metal
514,Nylon Fiber,Construction
515,Thermal Insulation Wool,Construction
516,Cement Bag,Metal
517,Polyester Yarn,Textile
518,PVC Pipe,Metal
519,Paint Pigment,Construction
520,Glass Fiber,Chemical
521,Lithium Battery Cell,Chemical
522,Ceramic Insulator,Plastic
523,PVC Pipe,Metal
524,Rubber Gasket,Plastic
525,ABS Plastic Pellets,Construction
526,Polycarbonate Sheet,Packaging
527,Coolant Liquid,Textile
528,Thermal Insulation Wool,Metal
529,Epoxy Resin,Metal
530,MDF Board,Construction
531,MDF Board,Textile
532,HDPE Granules,Packaging
533,Concrete Additive,Packaging
534,Timber Plank,Packaging
535,ABS Plastic Pellets,Plastic
536,Lithium Battery Cell,Electronics
537,Stainless Steel Bolt,Chemical
538,Copper Wire,Construction
539,Cement Bag,Plastic
540,HDPE Granules,Plastic
541,Transformer Core,Electronics
542,Silicone Sealant,Plastic
543,Wooden Plywood Sheet,Construction
544,Aluminum Sheet,Construction
545,Textile Cotton Fiber,Plastic
546,Timber Plank,Electronics
547,Microcontroller Chip,Metal
548,Lubricating Oil,Metal
549,Brass Pipe,Construction
550,Aluminum Foil Roll,Chemical
551,Textile Cotton Fiber,Electronics
552,Electric Motor Coil,Packaging
553,Microcontroller Chip,Metal
554,Hydraulic Oil,Plastic
555,Concrete Additive,Packaging
556,Nylon Fiber,Packaging
557,Acrylic Paint,Plastic
558,Timber Plank,Plastic
559,Plastic Packaging Film,Plastic
560,Glass Fiber,Metal
561,Gravel Stone,Electronics
562,Polyester Yarn,Textile
563,Leather Sheet,Packaging
564,Powder Coating Material,Electronics
565,Denim Fabric,Textile
566,Polycarbonate Sheet,Construction
567,Steel Rod,Electronics
568,ABS Plastic Pellets,Packaging
569,Lubricating Oil,Chemical
570,Brass Pipe,Textile
571,Printed Circuit Board,Packaging
572,Microcontroller Chip,Construction
573,Foam Padding,Packaging
574,Glass Fiber,Metal
575,Gravel Stone,Metal
576,Tempered Glass Panel,Electronics
577,Glass Fiber,Construction
578,Plastic Packaging Film,Construction
579,Acrylic Paint,Metal
580,HDPE Granules,Electronics
581,Paint Pigment,Packaging
582,Sand Aggregate,Packaging
583,Iron Ore,Construction
584,Aluminum Sheet,Electronics
585,Synthetic Rubber Sheet,Textile
586,Aluminum Foil Roll,Electronics
587,Packaging Cardboard,Electronics
588,Industrial Grease,Textile
589,Gravel Stone,Packaging
590,Denim Fabric,Textile
591,Microcontroller Chip,Chemical
592,Gypsum Powder,Textile
593,Foam Padding,Electronics
594,Glass Fiber,Electronics
595,Aluminum Foil Roll,Packaging
596,Steel Rod,Electronics
597,Ceramic Insulator,Packaging
598,Plastic Packaging Film,Plastic
599,Leather Sheet,Chemical
600,Aluminum Foil Roll,Textile
601,Copper Wire,Plastic
602,Stainless Steel Bolt,Chemical
603,HDPE Granules,Textile
604,LED Module,Textile
605,Denim Fabric,Metal
606,Copper Wire,Chemical
607,Nylon Fiber,Textile
608,Printed Circuit Board,Chemical
609,Latex Compound,Textile
610,Aluminum Sheet,Chemical
611,Denim Fabric,Electronics
612,Paint Pigment,Plastic
613,Timber Plank,Plastic
614,Lithium Battery Cell,Chemical
615,Printed Circuit Board,Construction
616,Stainless Steel Bolt,Textile
617,Nylon Fiber,Plastic
618,Sand Aggregate,Chemical
619,Industrial Adhesive,Construction
620,Copper Wire,Electronics
621,Foam Padding,Packaging
622,Microcontroller Chip,Construction
623,MDF Board,Electronics
624,HDPE Granules,Packaging
625,Polyester Yarn,Electronics
626,Industrial Grease,Textile
627,Ceramic Insulator,Construction
628,Sand Aggregate,Plastic
629,Coolant Liquid,Construction
630,Acrylic Paint,Metal
631,Tempered Glass Panel,Packaging
632,Lithium Battery Cell,Metal
633,PVC Pipe,Construction
634,Gypsum Powder,Textile
635,Iron Ore,Construction
636,Gypsum Powder,Electronics
637,Nylon Fiber,Metal
638,Gypsum Powder,Packaging
639,ABS Plastic Pellets,Construction
640,ABS Plastic Pellets,Textile
641,Denim Fabric,Chemical
642,Iron Ore,Chemical
643,Gypsum Powder,Packaging
644,Powder Coating Material,Chemical
645,ABS Plastic Pellets,Metal
646,Transformer Core,Electronics
647,Aluminum Sheet,Plastic
648,Epoxy Resin,Textile
649,Synthetic Rubber Sheet,Packaging
650,Iron Ore,Plastic
651,Polycarbonate Sheet,Chemical
652,Polycarbonate Sheet,Plastic
653,Electric Motor Coil,Electronics
654,Polyester Yarn,Textile
655,Timber Plank,Packaging
656,PVC Pipe,Electronics
657,Aluminum Sheet,Textile
658,Transformer Core,Construction
659,Glass Fiber,Textile
660,Brass Pipe,Electronics
661,Aluminum Foil Roll,Electronics
662,Aluminum Foil Roll,Construction
663,Steel Rod,Electronics
664,Wooden Plywood Sheet,Chemical
665,Lithium Battery Cell,Packaging
666,Printed Circuit Board,Electronics
667,Copper Wire,Textile
668,Powder Coating Material,Chemical
669,Tempered Glass Panel,Electronics
670,Glass Fiber,Metal
671,Acrylic Paint,Packaging
672,Epoxy Resin,Electronics
673,Timber Plank,Chemical
674,Paint Pigment,Construction
675,Plastic Packaging Film,Chemical
676,Cement Bag,Chemical
677,Polyester Yarn,Chemical
678,Powder Coating Material,Electronics
679,Powder Coating Material,Electronics
680,Packaging Cardboard,Metal
681,Packaging Cardboard,Metal
682,Wooden Plywood Sheet,Packaging
683,Thermal Insulation Wool,Textile
684,Corrugated Box,Packaging
685,Packaging Cardboard,Metal
686,Thermal Insulation Wool,Textile
687,Plastic Packaging Film,Metal
688,MDF Board,Metal
689,Foam Padding,Construction
690,Lubricating Oil,Textile
691,Gravel Stone,Packaging
692,Powder Coating Material,Electronics
693,Printed Circuit Board,Electronics
694,Aluminum Sheet,Metal
695,Industrial Grease,Packaging
696,Electric Motor Coil,Chemical
697,Synthetic Rubber Sheet,Packaging
698,Paint Pigment,Electronics
699,Aluminum Foil Roll,Plastic
700,Tempered Glass Panel,Textile
701,Aluminum Foil Roll,Chemical
702,MDF Board,Plastic
703,Aluminum Foil Roll,Metal
704,Brass Pipe,Plastic
705,Corrugated Box,Chemical
706,Acrylic Paint,Plastic
707,Industrial Grease,Construction
708,Copper Wire,Electronics
709,Denim Fabric,Textile
710,Ceramic Insulator,Plastic
711,Stainless Steel Bolt,Plastic
712,Brass Pipe,Textile
713,HDPE Granules,Construction
714,Concrete Additive,Metal
715,Synthetic Rubber Sheet,Construction
716,MDF Board,Metal
717,ABS Plastic Pellets,Plastic
718,Powder Coating Material,Plastic
719,Industrial Grease,Textile
720,Thermal Insulation Wool,Plastic
721,Denim Fabric,Chemical
722,Printed Circuit Board,Electronics
723,Polyester Yarn,Chemical
724,Aluminum Foil Roll,Metal
725,Synthetic Rubber Sheet,Chemical
726,ABS Plastic Pellets,Plastic
727,HDPE Granules,Plastic
728,Epoxy Resin,Textile
729,Denim Fabric,Plastic
730,Glass Fiber,Plastic
731,Gypsum Powder,Chemical
732,Hydraulic Oil,Electronics
733,Leather Sheet,Construction
734,Latex Compound,Plastic
735,Industrial Adhesive,Electronics
736,Epoxy Resin,Electronics
737,PVC Pipe,Textile
738,HDPE Granules,Metal
739,Tempered Glass Panel,Textile
740,Cement Bag,Chemical
741,Thermal Insulation Wool,Metal
742,Lubricating Oil,Textile
743,Corrugated Box,Electronics
744,Glass Fiber,Textile
745,Paint Pigment,Chemical
746,Paint Pigment,Electronics
747,Copper Wire,Plastic
748,Latex Compound,Plastic
749,Sand Aggregate,Packaging
750,Denim Fabric,Chemical
751,Stainless Steel Bolt,Metal
752,Coolant Liquid,Metal
753,Transformer Core,Packaging
754,Stainless Steel Bolt,Textile
755,LED Module,Packaging
756,Lubricating Oil,Construction
757,Iron Ore,Packaging
758,Polyester Yarn,Chemical
759,Hydraulic Oil,Plastic
760,Lubricating Oil,Plastic
761,PVC Pipe,Construction
762,LED Module,Packaging
763,Iron Ore,Packaging
764,Tempered Glass Panel,Packaging
765,Copper Wire,Electronics
766,Microcontroller Chip,Metal
767,Sand Aggregate,Chemical
768,Stainless Steel Bolt,Electronics
769,Aluminum Foil Roll,Electronics
770,Cement Bag,Metal
771,Lithium Battery Cell,Plastic
772,Industrial Grease,Electronics
773,Textile Cotton Fiber,Textile
774,Silicone Sealant,Metal
775,Hydraulic Oil,Plastic
776,Gypsum Powder,Electronics
777,Synthetic Rubber Sheet,Metal
778,Concrete Additive,Packaging
779,Epoxy Resin,Metal
780,Concrete Additive,Packaging
781,Industrial Grease,Textile
782,ABS Plastic Pellets,Packaging
783,Textile Cotton Fiber,Chemical
784,Coolant Liquid,Textile
785,Stainless Steel Bolt,Metal
786,Lubricating Oil,Metal
787,Sand Aggregate,Electronics
788,Steel Rod,Electronics
789,Thermal Insulation Wool,Packaging
790,Industrial Adhesive,Textile
791,Glass Fiber,Construction
792,Nylon Fiber,Packaging
793,Thermal Insulation Wool,Chemical
794,LED Module,Construction
795,HDPE Granules,Plastic
796,Gravel Stone,Chemical
797,Tempered Glass Panel,Packaging
798,Hydraulic Oil,Construction
799,Coolant Liquid,Metal
800,Tempered Glass Panel,Metal
801,LED Module,Textile
802,Denim Fabric,Metal
803,PVC Pipe,Chemical
804,Leather Sheet,Chemical
805,Gravel Stone,Plastic
806,Tempered Glass Panel,Metal
807,Timber Plank,Electronics
808,Coolant Liquid,Packaging
809,PVC Pipe,Packaging
810,Hydraulic Oil,Chemical
811,Coolant Liquid,Electronics
812,Transformer Core,Chemical
813,Textile Cotton Fiber,Textile
814,Iron Ore,Electronics
815,Aluminum Sheet,Chemical
816,Industrial Adhesive,Metal
817,Lubricating Oil,Metal
818,Lubricating Oil,Packaging
819,Transformer Core,Chemical
820,Polyester Yarn,Plastic
821,Transformer Core,Chemical
822,Lubricating Oil,Plastic
823,Lithium Battery Cell,Construction
824,Microcontroller Chip,Construction
825,Nylon Fiber,Chemical
826,Iron Ore,Textile
827,Copper Wire,Construction
828,Powder Coating Material,Electronics
829,Acrylic Paint,Metal
830,Powder Coating Material,Textile
831,Coolant Liquid,Electronics
832,Steel Rod,Chemical
833,LED Module,Packaging
834,Denim Fabric,Textile
835,Latex Compound,Packaging
836,Industrial Adhesive,Construction
837,Latex Compound,Plastic
838,Textile Cotton Fiber,Electronics
839,Concrete Additive,Packaging
840,Leather Sheet,Chemical
841,Transformer Core,Construction
842,HDPE Granules,Electronics
843,Nylon Fiber,Plastic
844,Cement Bag,Plastic
845,Printed Circuit Board,Metal
846,ABS Plastic Pellets,Construction
847,Electric Motor Coil,Textile
848,MDF Board,Construction
849,Electric Motor Coil,Plastic
850,Brass Pipe,Textile
851,Electric Motor Coil,Chemical
852,Wooden Plywood Sheet,Chemical
853,Stainless Steel Bolt,Plastic
854,LED Module,Textile
855,Aluminum Sheet,Textile
856,Corrugated Box,Electronics
857,HDPE Granules,Packaging
858,Transformer Core,Construction
859,Latex Compound,Textile
860,Tempered Glass Panel,Electronics
861,Aluminum Sheet,Chemical
862,Acrylic Paint,Metal
863,Industrial Adhesive,Plastic
864,MDF Board,Textile
865,Textile Cotton Fiber,Textile
866,Paint Pigment,Chemical
867,Plastic Packaging Film,Plastic
868,Nylon Fiber,Textile
869,Industrial Adhesive,Electronics
870,Copper Wire,Construction
871,Hydraulic Oil,Plastic
872,Plastic Packaging Film,Electronics
873,Gypsum Powder,Construction
874,Rubber Gasket,Metal
875,Silicone Sealant,Textile
876,Silicone Sealant,Textile
877,Latex Compound,Chemical
878,Timber Plank,Metal
879,Paint Pigment,Chemical
880,Copper Wire,Plastic
881,MDF Board,Electronics
882,Corrugated Box,Plastic
883,Microcontroller Chip,Construction
884,Synthetic Rubber Sheet,Textile
885,Cement Bag,Plastic
886,Packaging Cardboard,Textile
887,HDPE Granules,Metal
888,Leather Sheet,Plastic
889,Sand Aggregate,Plastic
