po_id,vendor_id,material_id,quantity_tons,price_per_ton,total_value,order_date
10216,3924,4104,20.57,887.26,18250.94,2023-10-01
10217,1785,1588,18.89,425.18,8031.65,2024-08-06
10218,3072,1844,21.97,534.05,11733.08,2023-01-22
10219,3089,1288,5.06,644.47,3261.02,2023-12-09
10220,2851,91,11.56,480.78,5557.82,2023-03-16
10221,2565,2090,14.86,941.22,13986.53,2023-05-14
10222,867,3764,22.98,460.19,10575.17,2024-07-04
10223,1531,4692,10.1,699.27,7062.63,2024-12-20
10224,1814,2521,20.58,481.3,9905.15,2023-12-05
10225,262,4681,22.12,391.85,8667.72,2023-02-10
10226,381,2918,17.86,885.41,15813.42,2023-09-08
10227,4432,4553,5.11,808.58,4131.84,2024-02-28
10228,1241,956,15.21,495.79,7540.97,2023-04-01
10229,1115,54,12.68,616.44,7816.46,2023-10-16
10230,3740,2737,22.93,550.71,12627.78,2024-07-30
10231,3696,2649,16.13,939.21,15149.46,2024-08-02
10232,4862,4863,22.21,402.64,8942.63,2024-03-09
10233,1892,1969,11.23,587.14,6593.58,2024-03-05
10234,70,1159,18.42,879.38,16198.18,2024-04-13
10235,637,2096,12.4,662.4,8213.76,2024-04-18
10236,4882,1033,24.67,883.96,21807.29,2023-01-02
10237,2821,1328,23.15,418.72,9693.37,2023-08-20
10238,1483,1549,19.27,680.44,13112.08,2024-03-17
10239,4981,1401,19.01,450.95,8572.56,2023-03-11
10240,1020,4279,12.05,896.23,10799.57,2024-08-09
10241,2999,4633,23.2,783.67,18181.14,2023-04-07
10242,4122,3577,13.67,813.68,11123.01,2023-08-05
10243,4511,669,15.71,549.39,8630.92,2024-08-25
10244,3800,3854,22.61,691.39,15632.33,2023-06-21
10245,4555,4234,19.08,406.52,7756.4,2023-02-15
10246,2783,1937,19.18,800.25,15348.8,2024-05-05
10247,4947,1770,15.7,834.98,13109.19,2023-03-10
10248,1267,4166,15.95,575.26,9175.4,2024-08-18
10249,4171,2262,14.59,453.43,6615.54,2023-12-06
10250,438,787,24.23,536.6,13001.82,2024-06-10
10251,3906,1332,7.76,783.43,6079.42,2023-01-02
10252,2413,4397,6.08,680.72,4138.78,2023-05-11
10253,1874,1109,17.51,853.21,14939.71,2024-11-09
10254,727,2273,23.91,385.5,9217.31,2023-10-13
10255,1732,1079,14.75,517.26,7629.59,2024-06-21
10256,2949,4730,19.96,389.62,7776.82,2024-09-08
10257,1037,107,19.21,770.66,14804.38,2023-05-11
10258,416,2270,5.72,474.71,2715.34,2024-12-13
10259,1070,3596,7.99,861.43,6882.83,2024-05-24
10260,846,1997,12.18,908.22,11062.12,2024-01-17
10261,1071,4124,19.36,374.86,7257.29,2023-04-06
10262,3336,2077,13.36,881.8,11780.85,2024-02-10
10263,471,2822,8.94,759.31,6788.23,2024-09-01
10264,3744,3766,9.62,846.91,8147.27,2023-12-31
10265,4402,1838,12.96,700.74,9081.59,2023-05-16
10266,1327,4901,20.36,760.27,15479.1,2023-04-02
10267,607,3848,13.31,880.08,11713.86,2023-11-02
10268,1304,4769,12.56,714.87,8978.77,2024-06-27
10269,239,2160,9.36,916.47,8578.16,2023-09-11
10270,2261,548,21.84,795.12,17365.42,2024-09-26
10271,4649,665,12.74,447.32,5698.86,2023-07-27
10272,115,4105,23.78,601.88,14312.71,2023-02-27
10273,3020,3422,12.34,684.31,8444.39,2024-02-07
10274,333,3139,14.21,801.89,11394.86,2023-08-28
10275,690,4673,19.01,907.92,17259.56,2024-06-08
10276,496,2484,21.08,567.23,11957.21,2024-08-18
10277,2087,2462,10.74,807.84,8676.2,2024-11-02
10278,3208,1609,5.72,929.19,5314.97,2024-12-02
10279,1841,4650,11.12,812.13,9030.89,2024-03-02
10280,4953,3088,11.88,531.38,6312.79,2023-06-21
10281,1384,3157,14.07,427.69,6017.6,2023-05-18
10282,725,2421,13.68,850.41,11633.61,2023-05-31
10283,1126,2815,10.11,821.5,8305.36,2024-11-01
10284,1240,831,16.1,542.34,8731.67,2024-11-26
10285,322,4373,15.29,657.94,10059.9,2024-05-19
10286,804,3339,23.98,706.47,16941.15,2023-06-01
10287,694,4922,17.79,784.61,13958.21,2024-08-07
10288,1647,4586,18.65,508.2,9477.93,2023-12-13
10289,2308,3776,21.1,882.42,18619.06,2023-07-11
10290,2988,4356,22.78,750.03,17085.68,2023-08-30
10291,1658,285,9.5,506.45,4811.27,2024-12-07
10292,2997,4334,9.82,397.21,3900.6,2024-05-26
10293,2188,3030,13.11,574.32,7529.34,2024-04-23
10294,4618,2201,20.57,584.24,12017.82,2024-05-26
10295,4808,2198,11.62,622.12,7229.03,2024-10-12
10296,1966,3577,11.71,469.62,5499.25,2024-01-15
10297,2219,3220,16.29,944.68,15388.84,2024-01-31
10298,4119,3132,23.62,706.79,16694.38,2023-03-07
10299,1037,648,13.62,893.57,12170.42,2023-07-01
10300,4387,65,11.87,571.96,6789.17,2024-08-09
10301,2510,4162,11.64,853.26,9931.95,2023-03-31
10302,3270,4882,21.3,461.22,9823.99,2023-05-27
10303,4717,3124,11.46,913.97,10474.1,2024-02-11
10304,925,1963,11.04,618.01,6822.83,2023-01-14
10305,1120,1963,14.06,938.5,13195.31,2024-01-12
10306,973,2177,20.54,703.1,14441.67,2023-07-05
10307,2343,432,12.7,909.88,11555.48,2024-11-14
10308,4781,1601,24.07,740.4,17821.43,2023-09-11
10309,3404,954,20.85,444.45,9266.78,2023-11-05
10310,1749,458,20.54,881.68,18109.71,2024-04-08
10311,3752,1852,16.33,482.01,7871.22,2023-04-17
10312,149,246,24.22,758.4,18368.45,2024-06-30
10313,4061,4349,17.91,788.52,14122.39,2023-12-31
10314,986,651,23.4,435.25,10184.85,2024-01-13
10315,4563,2301,19.6,617.98,12112.41,2023-11-22
10316,2289,1444,8.13,567.65,4614.99,2024-03-19
10317,3774,2128,22.78,653.29,14881.95,2023-10-01
10318,4081,399,21.88,740.29,16197.55,2023-04-26
10319,1341,208,14.94,735.69,10991.21,2024-12-09
10320,1210,1824,15.58,827.98,12899.93,2024-03-31
10321,3523,3280,14.26,429.23,6120.82,2024-11-29
10322,3835,28,11.48,462.98,5315.01,2023-04-25
10323,383,2926,10.57,387.17,4092.39,2023-06-06
10324,516,202,21.27,909.46,19344.21,2024-01-12
10325,374,298,11.51,661.49,7613.75,2023-01-26
10326,1460,1049,23.42,640.31,14996.06,2023-03-09
10327,1597,983,11.18,541.87,6058.11,2024-03-11
10328,4700,1012,5.53,530.67,2934.61,2023-08-11
10329,712,4050,20.26,667.45,13522.54,2023-06-18
10330,1623,3098,23.17,469.08,10868.58,2024-09-29
10331,4245,3202,11.92,775.51,9244.08,2023-06-30
10332,1528,4716,23.13,366.07,8467.2,2024-10-08
10333,2818,1048,22.12,820.46,18148.58,2024-01-18
10334,1747,1923,24.33,561.35,13657.65,2023-06-01
10335,3627,1859,8.38,733.96,6150.58,2024-12-17
10336,4943,4981,17.32,886.17,15348.46,2023-06-28
10337,3881,1820,5.03,568.15,2857.79,2023-12-29
10338,3497,714,9.51,485.98,4621.67,2024-06-03
10339,3254,751,12.0,370.86,4450.32,2023-02-20
10340,4190,1536,16.02,625.47,10020.03,2024-02-03
10341,990,4143,17.14,822.75,14101.94,2023-06-12
10342,317,809,21.6,469.94,10150.7,2023-01-15
10343,818,2902,14.83,443.58,6578.29,2024-10-22
10344,4536,1821,21.91,844.18,18495.98,2024-07-25
10345,1499,735,18.56,729.27,13535.25,2024-05-19
10346,3562,2148,18.32,855.09,15665.25,2024-06-30
10347,3920,1641,22.19,817.61,18142.77,2023-11-29
10348,1190,1719,13.85,507.59,7030.12,2023-08-10
10349,1161,1323,24.64,939.48,23148.79,2024-12-30
10350,4977,2393,15.17,730.84,11086.84,2023-09-17
10351,4638,1264,24.94,557.66,13908.04,2024-11-11
10352,1509,1464,24.82,728.8,18088.82,2023-12-29
10353,2766,1730,13.1,576.22,7548.48,2024-01-16
10354,1985,3923,18.12,890.13,16129.16,2023-09-08
10355,4355,455,6.33,738.65,4675.65,2023-10-06
10356,2260,857,12.94,825.79,10685.72,2023-08-30
10357,1877,4579,5.13,751.4,3854.68,2023-11-09
10358,2654,1217,20.44,741.92,15164.84,2023-01-14
10359,3157,1430,22.77,393.04,8949.52,2024-02-15
10360,2350,3272,18.22,655.23,11938.29,2023-08-23
10361,2994,3164,16.42,782.06,12841.43,2023-03-06
10362,3901,369,11.28,516.11,5821.72,2024-01-06
10363,1428,552,11.37,691.21,7859.06,2024-01-13
10364,2193,590,6.73,936.41,6302.04,2023-03-21
10365,2804,2703,16.32,900.99,14704.16,2024-03-14
10366,749,4721,10.43,691.75,7214.95,2024-01-20
10367,2630,3694,16.85,476.91,8035.93,2024-07-14
10368,494,3909,14.93,832.91,12435.35,2023-01-01
10369,1383,3561,21.22,360.9,7658.3,2023-06-12
10370,4065,788,18.33,392.67,7197.64,2023-05-20
10371,2519,601,19.58,403.88,7907.97,2023-07-26
10372,3523,3306,16.43,801.14,13162.73,2024-04-18
10373,3326,298,15.64,738.36,11547.95,2024-08-02
10374,608,1352,24.1,634.74,15297.23,2024-03-12
10375,655,4932,14.81,640.32,9483.14,2023-07-09
10376,232,3772,7.64,741.22,5662.92,2023-12-14
10377,4381,3893,18.91,928.3,17554.15,2024-10-26
10378,1704,4684,15.89,561.45,8921.44,2024-12-16
10379,4937,752,18.86,471.81,8898.34,2024-10-07
10380,1544,253,20.4,547.29,11164.72,2024-06-08
10381,2744,1489,18.44,821.38,15146.25,2023-08-27
10382,992,4802,7.49,377.41,2826.8,2023-03-12
10383,2860,3984,12.04,364.11,4383.88,2024-01-23
10384,3737,2328,10.45,519.67,5430.55,2024-05-06
10385,1150,3448,5.14,379.96,1952.99,2024-07-28
10386,4463,3566,14.29,533.7,7626.57,2024-05-23
10387,4859,3688,13.02,693.44,9028.59,2023-11-13
10388,1650,3160,22.7,403.42,9157.63,2023-12-22
10389,2105,2709,13.53,944.36,12777.19,2023-02-03
10390,2579,1808,5.46,496.56,2711.22,2024-04-26
10391,3164,2232,8.98,703.32,6315.81,2024-08-01
10392,3805,3616,13.53,461.88,6249.24,2023-03-22
10393,2934,1126,7.2,730.99,5263.13,2024-08-05
10394,1687,406,18.92,483.64,9150.47,2024-12-12
10395,66,1469,12.42,629.57,7819.26,2024-01-12
10396,1320,3791,12.0,446.91,5362.92,2024-02-28
10397,1924,642,18.49,605.94,11203.83,2023-11-18
10398,4585,4669,17.28,899.7,15546.82,2023-12-10
10399,2308,3392,17.23,559.21,9635.19,2024-11-04
10400,2707,2145,13.69,529.12,7243.65,2023-10-27
10401,2109,598,19.91,534.43,10640.5,2023-11-09
10402,4944,4826,17.24,587.31,10125.22,2023-09-08
10403,2118,2260,20.06,495.47,9939.13,2024-08-15
10404,2209,3359,14.02,485.85,6811.62,2023-09-28
10405,4599,1404,5.34,805.44,4301.05,2023-05-30
10406,4101,3442,9.49,705.99,6699.85,2023-05-12
10407,1791,4716,17.11,636.22,10885.72,2024-11-16
10408,4280,4773,21.35,735.53,15703.57,2023-10-04
10409,66,4678,7.0,444.62,3112.34,2024-04-01
10410,944,3922,7.58,764.76,5796.88,2023-02-14
10411,4249,2849,14.58,530.82,7739.36,2023-07-17
10412,3382,3036,10.74,775.85,8332.63,2023-12-11
10413,1030,306,14.45,701.36,10134.65,2023-09-08
10414,4643,3546,5.2,531.06,2761.51,2023-11-08
10415,1831,4642,12.63,388.45,4906.12,2023-02-25
10416,2915,874,21.46,434.86,9332.1,2023-05-20
10417,3781,2731,20.58,472.42,9722.4,2024-02-07
10418,4874,3209,22.29,667.26,14873.23,2023-07-14
10419,3862,19,11.62,552.43,6419.24,2024-07-22
10420,647,4700,23.8,932.51,22193.74,2024-09-16
10421,2954,4527,9.37,391.27,3666.2,2023-11-02
10422,3249,3178,8.78,767.46,6738.3,2023-08-15
10423,4441,4512,6.69,483.69,3235.89,2024-01-15
10424,1504,1561,5.96,472.82,2818.01,2024-02-22
10425,1112,275,8.15,752.45,6132.47,2023-09-12
10426,1501,2172,8.9,624.51,5558.14,2024-02-21
10427,2468,1901,9.16,414.67,3798.38,2024-11-10
10428,4133,3247,14.02,697.67,9781.33,2024-07-07
10429,2571,1154,21.62,369.6,7990.75,2024-08-05
10430,4773,411,22.21,578.86,12856.48,2023-06-06
10431,3992,3590,22.72,742.29,16864.83,2023-10-20
10432,308,2475,6.29,508.1,3195.95,2023-08-01
10433,1871,4396,21.83,385.07,8406.08,2024-01-11
10434,4581,4994,23.94,448.02,10725.6,2023-10-15
10435,3674,2759,13.44,553.0,7432.32,2023-06-13
10436,1256,1916,8.98,430.09,3862.21,2023-01-10
10437,3288,4700,7.73,430.67,3329.08,2023-04-21
10438,1882,180,9.31,876.69,8161.98,2023-08-13
10439,3613,555,8.95,594.97,5324.98,2024-12-09
10440,3738,2992,7.46,890.54,6643.43,2023-01-11
10441,3919,4995,13.75,606.12,8334.15,2024-09-16
10442,2041,465,11.95,838.3,10017.68,2023-06-27
10443,460,641,10.56,572.12,6041.59,2023-06-27
10444,4556,2117,23.2,790.83,18347.26,2024-05-14
10445,2219,1080,8.41,367.43,3090.09,2023-02-17
10446,558,4764,7.54,527.6,3978.1,2023-01-17
10447,1339,1085,6.82,780.62,5323.83,2023-10-27
10448,3600,3389,6.04,573.98,3466.84,2023-09-23
10449,833,3902,18.21,677.88,12344.19,2024-10-19
10450,2134,3391,17.72,647.12,11466.97,2023-04-19
10451,1499,2161,17.45,849.44,14822.73,2023-02-21
10452,1863,4398,12.73,733.89,9342.42,2024-03-27
10453,1216,2782,8.08,756.58,6113.17,2024-06-01
10454,1275,2595,22.44,388.45,8716.82,2024-09-05
10455,2812,3157,5.8,923.47,5356.13,2024-02-08
10456,2087,4155,20.16,519.05,10464.05,2023-05-31
10457,1538,3698,23.94,641.28,15352.24,2024-08-10
10458,1527,817,20.39,395.79,8070.16,2023-05-14
10459,977,4350,6.69,937.6,6272.54,2024-04-13
10460,2840,4529,24.32,375.18,9124.38,2024-03-01
10461,410,606,21.15,795.65,16828.0,2024-04-10
10462,3971,2387,22.1,867.77,19177.72,2024-12-11
10463,1848,4901,5.72,727.57,4161.7,2023-06-04
10464,2063,2908,12.05,702.65,8466.93,2023-07-02
10465,897,4047,16.96,791.13,13417.56,2023-04-15
10466,4033,3177,8.45,435.26,3677.95,2023-09-18
10467,1490,1340,10.0,684.53,6845.3,2023-01-22
10468,1183,926,12.21,523.56,6392.67,2024-01-20
10469,2136,4843,8.52,757.48,6453.73,2024-10-23
10470,1600,13,12.65,924.87,11699.61,2024-12-09
10471,2375,2412,15.79,467.3,7378.67,2023-11-06
10472,152,2497,13.86,892.91,12375.73,2024-05-29
10473,4909,4753,21.81,649.46,14164.72,2023-12-05
10474,1362,85,5.23,628.77,3288.47,2024-01-19
10475,4158,2862,17.28,576.51,9962.09,2023-03-15
10476,1553,3672,17.24,874.97,15084.48,2024-05-23
10477,1489,3255,10.15,771.19,7827.58,2024-03-13
10478,4897,2594,17.69,475.52,8411.95,2024-02-29
10479,4080,3885,9.66,460.99,4453.16,2023-11-23
10480,2939,4647,20.9,446.01,9321.61,2023-06-07
10481,3272,2862,5.35,398.33,2131.07,2024-07-09
10482,1097,228,6.67,835.71,5574.19,2024-10-31
10483,1292,1237,12.38,785.08,9719.29,2024-08-29
10484,3363,1789,10.72,392.8,4210.82,2023-02-13
10485,4765,3296,8.03,540.65,4341.42,2023-08-27
10486,1263,3348,13.72,627.96,8615.61,2023-06-26
10487,1474,351,21.53,783.63,16871.55,2024-03-17
